"grouping","group1","group2","group3","variable","contrast","estimate","SE","df","t.ratio","p.value","signif"
"attn_space_slot","switch","mixed","1","ldiff","ldiff - ctrl",0.031392769179747,0.0328838619616947,36.9959546575251,0.954655788797415,0.345948349851063,""
"attn_space_slot","maintain","mixed","1","ldiff","ldiff - ctrl",0.0335968005497854,0.0326106419621775,35.7832163078933,1.03024039173322,0.309810792985083,""
"attn_space_slot","switch","non-
spatial","1","ldiff","ldiff - ctrl",0.0277276262951892,0.0329042789948285,37.0871843324445,0.842675394879404,0.404811858167442,""
"attn_space_slot","maintain","non-
spatial","1","ldiff","ldiff - ctrl",0.0317069988407294,0.0328439746327553,36.8175741569452,0.965382515218119,0.34065190636999,""
"attn_space_slot","switch","spatial","1","ldiff","ldiff - ctrl",0.00269958976641773,0.033052312668638,37.7590277616035,0.0816762746220557,0.935335565549852,""
"attn_space_slot","maintain","spatial","1","ldiff","ldiff - ctrl",0.0306738954363255,0.0326909513995171,36.1363196087263,0.938299257842297,0.354320145480127,""
"attn_space_slot","switch","mixed","2","ldiff","ldiff - ctrl",0.00301918104160315,0.0322955585808501,34.4216187768313,0.093485952071236,0.926059548318428,""
"attn_space_slot","maintain","mixed","2","ldiff","ldiff - ctrl",0.0283572499782662,0.0320269570511081,33.2922451448354,0.885418178599179,0.382281843296823,""
"attn_space_slot","switch","non-
spatial","2","ldiff","ldiff - ctrl",-0.00571632681362177,0.032322391724313,34.5360207074986,-0.176853460052646,0.860656589422693,""
"attn_space_slot","maintain","non-
spatial","2","ldiff","ldiff - ctrl",0.0099105707182542,0.0321162301158059,33.6646729519709,0.308584497075725,0.759539177680733,""
"attn_space_slot","switch","spatial","2","ldiff","ldiff - ctrl",0.0031798327131312,0.0324586607705367,35.1215529720738,0.0979656164994208,0.922516565354521,""
"attn_space_slot","maintain","spatial","2","ldiff","ldiff - ctrl",-0.00230300056757317,0.0320895395156535,33.5530251952291,-0.0717679531191076,0.943212670647336,""
"attn_space_slot","switch","mixed","3","ldiff","ldiff - ctrl",0.011356716827943,0.0328617448344228,36.8965046119525,0.345590804297366,0.731612962744088,""
"attn_space_slot","maintain","mixed","3","ldiff","ldiff - ctrl",0.0238202045046724,0.0326681461522291,36.035817819519,0.729156910027079,0.470618583222203,""
"attn_space_slot","switch","non-
spatial","3","ldiff","ldiff - ctrl",0.0214713744421108,0.0335040912262249,39.863185072037,0.640858284951908,0.525282086793323,""
"attn_space_slot","maintain","non-
spatial","3","ldiff","ldiff - ctrl",-0.00359479397840281,0.0326681115013457,36.0359791851225,-0.110039846602542,0.912988319732709,""
"attn_space_slot","switch","spatial","3","ldiff","ldiff - ctrl",0.0123572863482579,0.0333880910692831,39.3146930602235,0.370110597895982,0.713286552978766,""
"attn_space_slot","maintain","spatial","3","ldiff","ldiff - ctrl",0.000211004193629031,0.0328149389365806,36.6864871453971,0.00643012604828628,0.994904376395401,""
"attn_space_slot","switch","mixed","4","ldiff","ldiff - ctrl",0.0305339582116756,0.0320999502695797,33.5964131348321,0.951215125109148,0.348288632018875,""
"attn_space_slot","maintain","mixed","4","ldiff","ldiff - ctrl",0.0186541262664671,0.0320103266296211,33.2232133724466,0.582753387127433,0.563994047783455,""
"attn_space_slot","switch","non-
spatial","4","ldiff","ldiff - ctrl",0.0714245327242824,0.0320997512456775,33.5956584996422,2.22508056768509,0.0328988186654975,"*"
"attn_space_slot","maintain","non-
spatial","4","ldiff","ldiff - ctrl",-0.0227948410749222,0.0320107972488071,33.2251658836413,-0.712098511566177,0.481374553835968,""
"attn_space_slot","switch","spatial","4","ldiff","ldiff - ctrl",0.0490113694043801,0.032228267239364,34.136186980507,1.52075719865315,0.137530510122805,""
"attn_space_slot","maintain","spatial","4","ldiff","ldiff - ctrl",0.0077316114040626,0.032052881884225,33.4000800410211,0.241214235649362,0.810863780652466,""
