"grouping","group","variable","level","token","prob","SE","df","asymp.LCL","asymp.UCL"
"space","mixed","ldiff","listening
difficulty","neither",0.059876224273798,0.00525073197992698,Inf,0.0502592510040979,0.0708781760993509
"space","mixed","ldiff","control","neither",0.0424730189862977,0.00431439869723935,Inf,0.0346735342153751,0.0516340564038054
"space","non-spatial","ldiff","listening
difficulty","neither",0.0725091767844604,0.00585876630697571,Inf,0.0617074867004202,0.0847031886574419
"space","non-spatial","ldiff","control","neither",0.0581966709759398,0.00517235808728281,Inf,0.048733714974899,0.0690465473845543
"space","spatial","ldiff","listening
difficulty","neither",0.0707328219562309,0.00577769404820072,Inf,0.060089624609001,0.0827684225089982
"space","spatial","ldiff","control","neither",0.0550210593201937,0.00501190969083163,Inf,0.0458707713547059,0.0655566827246736
"space","mixed","ldiff","listening
difficulty","target",0.861056909485108,0.0105104033779363,Inf,0.839413284206198,0.880623782244621
"space","mixed","ldiff","control","target",0.868479257197991,0.0102238424924625,Inf,0.847381127957864,0.8874726795035
"space","non-spatial","ldiff","listening
difficulty","target",0.832165863788624,0.0115274599379638,Inf,0.808597003127855,0.853779312671489
"space","non-spatial","ldiff","control","target",0.849451772598593,0.0109344655676209,Inf,0.827003895918136,0.869870320235925
"space","spatial","ldiff","listening
difficulty","target",0.822508738847861,0.0118525340293918,Inf,0.79832444677905,0.844776569718756
"space","spatial","ldiff","control","target",0.842296102985594,0.0111929846641009,Inf,0.8193570755601,0.863233196580194
"space","mixed","ldiff","listening
difficulty","foil",0.0378169829050394,0.00533700970642747,Inf,0.0284769833280748,0.0495187936308493
"space","mixed","ldiff","control","foil",0.0254842415365439,0.00430669645403818,Inf,0.0181358864073239,0.0351771796127884
"space","non-spatial","ldiff","listening
difficulty","foil",0.0597771055914509,0.0067878172015167,Inf,0.0475928480154356,0.0742795831341185
"space","non-spatial","ldiff","control","foil",0.0478023663864551,0.0060183755312915,Inf,0.0371225461721961,0.0608121380800095
"space","spatial","ldiff","listening
difficulty","foil",0.0932322185754636,0.00856790896314259,Inf,0.0775346120551308,0.111162412178501
"space","spatial","ldiff","control","foil",0.0339722591378611,0.00500080032059888,Inf,0.0252700151696914,0.0450012579021895
"ldiff","ldiff","attn","switch","neither",0.0719247378489458,0.00517605635257782,Inf,0.062317752594836,0.0826285350884789
"ldiff","ldiff","attn","maintain","neither",0.0633294529330364,0.00479345252013946,Inf,0.0544648799558366,0.0732787058805597
"ldiff","ctrl","attn","switch","neither",0.0578542788219747,0.00454829087198178,Inf,0.0494665825364442,0.0673215047659694
"ldiff","ctrl","attn","maintain","neither",0.0457559934289596,0.0039453828684446,Inf,0.0385329167240955,0.0540293583020145
"ldiff","ldiff","attn","switch","target",0.804107442258416,0.0108858777495809,Inf,0.782072929767888,0.82473348354895
"ldiff","ldiff","attn","maintain","target",0.869808676365209,0.00886503570474794,Inf,0.851626851086876,0.886387513189832
"ldiff","ctrl","attn","switch","target",0.822541306177193,0.010383383703826,Inf,0.801457420701169,0.842153528619735
"ldiff","ctrl","attn","maintain","target",0.880948944019415,0.00844332371727753,Inf,0.863581557003762,0.896693689997109
"ldiff","ldiff","attn","switch","foil",0.0701708467308093,0.00637361041677165,Inf,0.0585125165132246,0.0835386929184125
"ldiff","ldiff","attn","maintain","foil",0.0517215186962697,0.00546788817484832,Inf,0.041856835377529,0.0633508163306912
"ldiff","ctrl","attn","switch","foil",0.0405791575569782,0.00469451695961763,Inf,0.0321900325775277,0.0506618241434625
"ldiff","ctrl","attn","maintain","foil",0.0297077692793643,0.00395489672087581,Inf,0.0227524847841981,0.0383423002429111
"attn","switch","space","mixed","neither",0.0549208575369711,0.0045810375029821,Inf,0.0465068785578408,0.0644945955171106
"attn","switch","space","non-
spatial","neither",0.0713206708621352,0.00525897391745322,Inf,0.0615734895475208,0.0822108693981137
"attn","switch","space","spatial","neither",0.0685016573006225,0.00514939018175457,Inf,0.0589704770464761,0.0791794902276567
"attn","maintain","space","mixed","neither",0.0465185034026466,0.00419613393465461,Inf,0.0388598683771257,0.0553440000055499
"attn","maintain","space","non-
spatial","neither",0.0592119541639367,0.00476577791373329,Inf,0.0504347701183837,0.0691443477637145
"attn","maintain","space","spatial","neither",0.0569029832435558,0.0046703862041294,Inf,0.0483141543698902,0.0666510785276531
"attn","switch","space","mixed","target",0.839014658449669,0.0103685186894884,Inf,0.817857004508464,0.858499925550752
"attn","switch","space","non-
spatial","target",0.80925630359046,0.0111722925722519,Inf,0.786594154214883,0.830377648235395
"attn","switch","space","spatial","target",0.790063448207954,0.0116250169829398,Inf,0.766561387072151,0.812114020876539
"attn","maintain","space","mixed","target",0.887606103651708,0.00876527467140171,Inf,0.869478418086837,0.903859543334591
"attn","maintain","space","non-
spatial","target",0.869001875597808,0.00942917409987359,Inf,0.849615332724472,0.886588974516458
"attn","maintain","space","spatial","target",0.869125342833702,0.00941841445715833,Inf,0.84976087120951,0.886692371094814
"attn","switch","space","mixed","foil",0.0413151244991025,0.00534268722453556,Inf,0.0318701902745943,0.0529113486988446
"attn","switch","space","non-
spatial","foil",0.0651623880501887,0.00670830948946413,Inf,0.0530128067149145,0.0793692525410039
"attn","switch","space","spatial","foil",0.0571291108983137,0.00639872892677416,Inf,0.0456335379626049,0.0707907036788746
"attn","maintain","space","mixed","foil",0.0231459928896987,0.00395642681280985,Inf,0.0164101679604108,0.0320726863315402
"attn","maintain","space","non-
spatial","foil",0.0435986494293614,0.0054654269615686,Inf,0.0339024297712809,0.0554187141918893
"attn","maintain","space","spatial","foil",0.0585402924499409,0.00650616494030302,Inf,0.0468415638693578,0.0724188001593542
