"grouping","group","variable","contrast","token","estimate","SE","df","z.ratio","p.value","signif"
"space","mixed","ldiff","ldiff - ctrl","neither",0.166868557271566,0.0649585748002862,Inf,2.56884572644336,0.0102037872300682,"*"
"space","non-
spatial","ldiff","ldiff - ctrl","neither",0.112738368276833,0.0614666337950122,Inf,1.83413929340606,0.0666333199732227,""
"space","spatial","ldiff","ldiff - ctrl","neither",0.127648900421792,0.0620265946710122,Inf,2.05797047377563,0.0395929678162207,"*"
"space","mixed","ldiff","ldiff - ctrl","target",-0.0341511783157314,0.0673880668673867,Inf,-0.506783766077423,0.61230654813436,""
"space","non-
spatial","ldiff","ldiff - ctrl","target",-0.0713255281349414,0.0654970350504238,Inf,-1.08898865544113,0.276158888458548,""
"space","spatial","ldiff","ldiff - ctrl","target",-0.0789714030926776,0.0649747123846893,Inf,-1.21541750927837,0.224206893294419,""
"space","mixed","ldiff","ldiff - ctrl","foil",0.175144366637565,0.0966986312881083,Inf,1.81123935576432,0.0701038085574407,""
"space","non-
spatial","ldiff","ldiff - ctrl","foil",0.109898454718867,0.0830435322744922,Inf,1.32338367250093,0.185707818747331,""
"space","spatial","ldiff","ldiff - ctrl","foil",0.50426385271365,0.083892024442767,Inf,6.01086761301928,1.84533055553689e-09,"***"
"ldiff","listening
difficulty","attn","switch - maintain","neither",0.0658057181793747,0.0400315490312379,Inf,1.64384641044054,0.100207931999941,""
"ldiff","control","attn","switch - maintain","neither",0.11443103084854,0.0436903997979674,Inf,2.61913444092272,0.00881531981190045,"**"
"ldiff","listening
difficulty","attn","switch - maintain","target",-0.269102642763749,0.0446779368442771,Inf,-6.02316628231276,1.71037561622905e-09,"***"
"ldiff","control","attn","switch - maintain","target",-0.25465055851438,0.0456949396988482,Inf,-5.57283936017096,2.50620648116154e-08,"***"
"ldiff","listening
difficulty","attn","switch - maintain","foil",0.153866337425475,0.0596603961210942,Inf,2.57903647024349,0.009907632600293,"**"
"ldiff","control","attn","switch - maintain","foil",0.141101479952464,0.0706204030022327,Inf,1.99802711332592,0.0457137207239183,"*"
"attn","switch","space","non-spatial - mixed","neither",0.132879496557367,0.050313381299514,Inf,2.6410368996339,0.101082638838229,""
"attn","switch","space","spatial - mixed","neither",0.11186146076989,0.0506055080377015,Inf,2.21046018719054,0.262509062981142,""
"attn","switch","space","spatial - non-spatial","neither",-0.0210180357874766,0.0485072715160186,Inf,-0.433296599264211,0.999043333845773,""
"attn","maintain","space","non-spatial - mixed","neither",0.118167255912235,0.0531897901495644,Inf,2.22161538107145,0.256937447450083,""
"attn","maintain","space","spatial - mixed","neither",0.0982752692105475,0.0535063448863158,Inf,1.83670309417232,0.485315655080916,""
"attn","maintain","space","spatial - non-spatial","neither",-0.0198919867016877,0.0514091905583692,Inf,-0.386934446655071,0.999476122600261,""
"attn","switch","space","non-spatial - mixed","target",-0.115257286865876,0.0532401030194332,Inf,-2.16485844934985,0.286039491516297,""
"attn","switch","space","spatial - mixed","target",-0.183774877839858,0.0526789490281267,Inf,-3.48858284438695,0.00763824721654549,"**"
"attn","switch","space","spatial - non-spatial","target",-0.0685175909739812,0.0515819679730233,Inf,-1.32832448366094,0.808402358256378,""
"attn","maintain","space","non-spatial - mixed","target",-0.0922097307123097,0.0584721451135913,Inf,-1.57698559772654,0.659439503518021,""
"attn","maintain","space","spatial - mixed","target",-0.0916289756330868,0.058449484793724,Inf,-1.56766096324814,0.665527522408051,""
"attn","maintain","space","spatial - non-spatial","target",0.000580755079222884,0.0572323292388352,Inf,0.0101473255928366,0.999999999999009,""
"attn","switch","space","non-spatial - mixed","foil",0.222802106555855,0.0759588580176654,Inf,2.9331945262268,0.0459067745912389,"*"
"attn","switch","space","spatial - mixed","foil",0.156285079262436,0.0779452441583399,Inf,2.00506241208193,0.377369672029431,""
"attn","switch","space","spatial - non-spatial","foil",-0.0665170272934189,0.0722978497331594,Inf,-0.920041571622438,0.958283800618939,""
"attn","maintain","space","non-spatial - mixed","foil",0.282350236649891,0.0897031713063085,Inf,3.14760596017004,0.0240086288541796,"*"
"attn","maintain","space","spatial - mixed","foil",0.425575256873792,0.0872682182003087,Inf,4.87663511012634,1.91231315954665e-05,"***"
"attn","maintain","space","spatial - non-spatial","foil",0.143225020223901,0.0769229067591557,Inf,1.86192938174238,0.468603866540634,""
