"variable","contrast","estimate","SE","df","t.ratio","p.value","signif"
"ldiff","ldiff - ctrl",0.0172678223505171,0.0288771888855379,22.007115503893,0.597974491871853,0.555961364523448,""
"attn","switch - maintain",0.0187781625031538,0.00312898295899904,7705.97365465458,6.00136298254589,2.04522349360658e-09,"***"
"space","non-spatial - mixed",0.0271012213049673,0.00380625317357719,7705.11360074596,7.12018356873961,1.98133731643679e-11,"***"
"space","spatial - mixed",0.00371661391603886,0.00381620882430698,7705.14344710823,0.973902133543176,0.593418065829254,""
"space","spatial - non-spatial",-0.0233846073889284,0.00385061693371713,7705.19336786598,-6.07295085215201,3.95875110470456e-09,"***"
"slot","2 - 1",-0.134883720683558,0.00442290506271782,7706.2913869852,-30.4966348521787,1.55713220095777e-11,"***"
"slot","3 - 1",-0.00642964294089293,0.0046489909499862,7705.94480191186,-1.38301902715298,0.510048053935671,""
"slot","3 - 2",0.128454077742665,0.00448151645993567,7707.39076608072,28.6630828852314,1.73911995915432e-11,"***"
"slot","4 - 1",-0.132671659545591,0.00438858508590964,7706.76634615102,-30.2310783426663,1.7606471836018e-11,"***"
"slot","4 - 2",0.0022120611379665,0.00418444354413816,7705.56673923392,0.528639259828299,0.952158080395537,""
"slot","4 - 3",-0.126242016604698,0.00443563557019124,7706.80143741457,-28.4608630729453,2.03105310347951e-11,"***"
