"variable","contrast","token","estimate","SE","df","z.ratio","p.value","signif"
"ldiff","ldiff - ctrl","neither",0.135751941990064,0.0468233315465188,Inf,2.89923714324331,0.0037407185122781,"**"
"ldiff","ldiff - ctrl","target",-0.0614827031811168,0.0482484487764435,Inf,-1.27429388385093,0.202559283262141,""
"ldiff","ldiff - ctrl","foil",0.263102224690028,0.0589288065544866,Inf,4.46474721063219,8.01633423379803e-06,"***"
"attn","switch - maintain","neither",0.0901183745139572,0.0296622285084637,Inf,3.03815252748941,0.00238033440130307,"**"
"attn","switch - maintain","target",-0.261876600639064,0.0319662203014504,Inf,-8.19229168070215,2.5629858832198e-16,"***"
"attn","switch - maintain","foil",0.147483908688969,0.0464773775834505,Inf,3.17324075404558,0.0015074746262497,"**"
"space","non-spatial - mixed","neither",0.125523376234801,0.0366794262774412,Inf,3.42217392620454,0.00508726292079698,"**"
"space","spatial - mixed","neither",0.105068364990219,0.0369023733982194,Inf,2.8471980340237,0.0326151678831152,"*"
"space","spatial - non-spatial","neither",-0.0204550112445821,0.0353863479004014,Inf,-0.578048102114265,0.972462243523308,""
"space","non-spatial - mixed","target",-0.103733508789093,0.0395372981209028,Inf,-2.62368734636044,0.0606343889134563,""
"space","spatial - mixed","target",-0.137701926736472,0.0393449651156175,Inf,-3.49986145195013,0.00384825896282048,"**"
"space","spatial - non-spatial","target",-0.0339684179473792,0.0385299326675548,Inf,-0.88161114218565,0.888029438666164,""
"space","non-spatial - mixed","foil",0.252576171602873,0.0589371397757124,Inf,4.28551796989235,0.000159785636234866,"***"
"space","spatial - mixed","foil",0.290930168068114,0.0591218789138414,Inf,4.92085457047277,7.68519522087452e-06,"***"
"space","spatial - non-spatial","foil",0.0383539964652411,0.0533146859786613,Inf,0.71938895936838,0.941940858830145,""
