"truth","ldiff","attn","space","coef","stderr","z","p","signif"
"neither","","","",-1.63924777209706,0.0325090466569141,-50.4243569304554,0,"***"
"target","","","",2.7414034595085,0.0392999190699109,69.7559568667762,0,"***"
"foil","","","",-0.224925078356608,0.0528393550054294,-4.25677183859448,2.07399821468489e-05,"***"
"neither","ldiff","","",0.166868557271566,0.0649585748002862,2.56884572644336,0.0102037872300682,"*"
"target","ldiff","","",-0.0341511783157314,0.0673880668673867,-0.506783766077423,0.61230654813436,""
"foil","ldiff","","",0.175144366637565,0.0966986312881083,1.81123935576432,0.0701038085574407,""
"neither","","switch","",0.0806855637791327,0.0537401925691227,1.50140071930989,0.133251947968038,""
"target","","switch","",-0.223478781185618,0.0570537950414706,-3.91698362962847,8.96638350069198e-05,"***"
"foil","","switch","",0.2570966779241,0.0903067013453956,2.84692801413246,0.00441433431595974,"**"
"neither","","","non-spatial",0.125523376234801,0.0366794262774412,3.42217392620454,0.000621225612000347,"***"
"target","","","non-spatial",-0.103733508789093,0.0395372981209028,-2.62368734636044,0.00869835922100645,"**"
"foil","","","non-spatial",0.252576171602873,0.0589371397757124,4.28551796989235,1.82313909771477e-05,"***"
"neither","","","spatial",0.105068364990219,0.0369023733982194,2.8471980340237,0.00441059156697178,"**"
"target","","","spatial",-0.137701926736472,0.0393449651156175,-3.49986145195013,0.000465500033681582,"***"
"foil","","","spatial",0.290930168068114,0.0591218789138414,4.92085457047277,8.61671421426993e-07,"***"
"neither","ldiff","switch","",-0.048625312669165,0.0591891941518046,-0.821523478499369,0.411348156237848,""
"target","ldiff","switch","",-0.0144520842493692,0.0638821895996195,-0.226230258229209,0.821022337928117,""
"foil","ldiff","switch","",0.0127648574730112,0.0919381415023642,0.138841804548365,0.889575158636436,""
"neither","ldiff","","non-spatial",-0.0541301889947339,0.0732883446739076,-0.738592053560265,0.460154750970852,""
"target","ldiff","","non-spatial",-0.03717434981921,0.0787410266495672,-0.472109031352264,0.636848966416382,""
"foil","ldiff","","non-spatial",-0.0652459119186976,0.116304493762748,-0.560992183602073,0.574802865707829,""
"neither","ldiff","","spatial",-0.0392196568497743,0.0737369043462301,-0.531886403389262,0.5948046748384,""
"target","ldiff","","spatial",-0.0448202247769462,0.0783000517354787,-0.572416285603009,0.567039985351232,""
"foil","ldiff","","spatial",0.329119486076086,0.117311092611597,2.80552741219247,0.0050234308326671,"**"
"neither","","switch","non-spatial",0.0147122406451313,0.0730729702401716,0.201336288873657,0.840435629072636,""
"target","","switch","non-spatial",-0.0230475561535667,0.0790835562971526,-0.291432975863739,0.770720197435456,""
"foil","","switch","non-spatial",-0.059548130094036,0.117211212465984,-0.508041243164492,0.611424419795529,""
"neither","","switch","spatial",0.0135861915593424,0.0734884489155136,0.184875198209202,0.853326924603641,""
"target","","switch","spatial",-0.0921459022067708,0.0786811461973126,-1.17113065404121,0.241546263951424,""
"foil","","switch","spatial",-0.269290177611356,0.115761909643493,-2.32624166654367,0.0200056620140685,"*"
