"ldiff","attn","space","slot","coef","stderr","df","t","p","signif"
"","","","",0.564858588578543,0.0153976883476426,28.3943224028923,36.6846357599531,1.80421825145108e-25,"***"
"ldiff","","","",0.0324947848647662,0.0307953766952852,28.3943224029577,1.05518387342023,0.300237324320197,""
"","","non-spatial","",0.0106747733707496,0.00793610156322232,7705.06488475063,1.34509031741969,0.178635657026615,""
"","","spatial","",-0.00761367655862014,0.00793538318819605,7705.06897881298,-0.959459219303429,0.337357559979086,""
"","switch","","",0.00972715639759397,0.0111375064040995,7705.27961860274,0.873369320264868,0.38248902469171,""
"","","","2",-0.143003110727828,0.00757124368220681,7705.3407193774,-18.8876645278107,8.09453627654583e-78,"***"
"","","","3",-0.0205951123417996,0.00788223610786854,7705.19181818442,-2.61285148782086,0.00899647001019939,"**"
"","","","4",-0.147395784645583,0.00751904256910433,7705.48585504322,-19.602999090766,1.54265122871282e-83,"***"
"ldiff","","non-spatial","",-0.00277747229680693,0.0158722031264446,7705.06488603996,-0.174989714703146,0.861092313260346,""
"ldiff","","spatial","",-0.0158080422633946,0.0158707663763921,7705.06897904954,-0.996047820785087,0.319258189429285,""
"ldiff","switch","","",-0.00220403137003847,0.0222750128081989,7705.27961918061,-0.0989463570241905,0.921183435775757,""
"","switch","non-spatial","",-0.0134059276902748,0.0158747578736112,7705.13678401391,-0.844480766069486,0.398427025740233,""
"","switch","spatial","",-0.0242535490996457,0.0158693654976789,7705.04092359036,-1.52832506776614,0.126472897735175,""
"ldiff","","","2",-0.0168065693548315,0.0151424873644136,7705.340718509,-1.10989489047411,0.267078958476589,""
"ldiff","","","3",-0.0149063241984585,0.0157644722157371,7705.19181865468,-0.945564430858529,0.34440044347372,""
"ldiff","","","4",-0.00790074262569483,0.0150380851382087,7705.48585495431,-0.52538222473689,0.599332624834057,""
"","","non-spatial","2",0.006554029557956,0.0107690314418545,7705.00560307651,0.608599723507482,0.542807728706377,""
"","","spatial","2",0.0178041405748549,0.0107889459133747,7705.00178125074,1.65022057926751,0.0989385881367428,""
"","","non-spatial","3",0.0242510325454876,0.0113082686793506,7705.06271969988,2.14453982595683,0.0320208418164284,"*"
"","","spatial","3",0.0182453756572323,0.0113111021062487,7705.0682689489,1.61305021260067,0.106774551464893,""
"","","non-spatial","4",0.034900729633427,0.0106703241794216,7705.01044732095,3.27082186506903,0.001077067915078,"**"
"","","spatial","4",0.00927164566654875,0.0107011450153108,7705.0140539298,0.866416224925762,0.386288928103489,""
"","switch","","2",0.00782367009574293,0.0151328251860731,7705.02902850446,0.516999965277015,0.605171022657513,""
"","switch","","3",0.0370126153820887,0.0157623314248778,7705.13081236485,2.34816883266846,0.0188911116939478,"*"
"","switch","","4",0.0259707074198465,0.0150279915987663,7705.17926877961,1.72815557216431,0.0840004009443415,""
"ldiff","switch","non-spatial","",-0.00177534117550173,0.0317495157472223,7705.13678356361,-0.0559171103470153,0.955409289890209,""
"ldiff","switch","spatial","",-0.0257702742998693,0.0317387309953577,7705.04092573126,-0.811950367632487,0.416845194504464,""
"ldiff","","non-spatial","2",-0.0108136212608115,0.0215380628837089,7705.0056025626,-0.502070279913186,0.615632431994845,""
"ldiff","","spatial","2",0.000558242826238929,0.0215778918267493,7705.00178045857,0.0258710550002339,0.979360857056593,""
"ldiff","","non-spatial","3",-0.00587269813764679,0.0226165373587012,7705.06272093673,-0.259663893040081,0.795129984170747,""
"ldiff","","spatial","3",0.00450372686803035,0.0226222042124974,7705.06826880206,0.199084352069561,0.84220201446632,""
"ldiff","","non-spatial","4",0.00249827588241564,0.0213406483588432,7705.01044860721,0.117066540828896,0.906810375115122,""
"ldiff","","spatial","4",0.0195854904285446,0.0214022900306217,7705.01405383335,0.91511190627369,0.360161522441884,""
"ldiff","switch","","2",-0.0231340375666246,0.0302656503721462,7705.02902883681,-0.764366114131653,0.44467250362071,""
"ldiff","switch","","3",-0.0102594563066909,0.0315246628497555,7705.13081331507,-0.325442221399379,0.744855241725895,""
"ldiff","switch","","4",0.0140838633152469,0.0300559831975327,7705.17927053723,0.468587675960742,0.639377643890908,""
"","switch","non-spatial","2",-0.0097524900769676,0.0215393635973201,7705.02812144527,-0.452775219328254,0.650723357671972,""
"","switch","spatial","2",0.0029273891613521,0.0215790861802634,7705.0257189661,0.135658625064001,0.892094701482035,""
"","switch","non-spatial","3",0.0133999929206274,0.0226179001334672,7705.08709670358,0.592450795235393,0.553566145954388,""
"","switch","spatial","3",0.00735044469734201,0.0226202150005213,7705.04124748237,0.324950257863271,0.745227541089424,""
"","switch","non-spatial","4",0.0208453885658502,0.0213423893642951,7705.05057229155,0.976712972949676,0.328741934441957,""
"","switch","spatial","4",0.0120582764651608,0.0214020373748724,7705.01478678644,0.563417223040557,0.573167207557187,""
"ldiff","switch","non-spatial","2",0.0114865125802888,0.0430787271946401,7705.02812099201,0.266640017667885,0.78975347642545,""
"ldiff","switch","spatial","2",0.0565911765172367,0.0431581723605267,7705.02572038017,1.31125053314343,0.189812208809083,""
"ldiff","switch","non-spatial","3",0.0393049972727447,0.0452358002669344,7705.08709701429,0.868891387812477,0.384933604148186,""
"ldiff","switch","spatial","3",0.0503800441312275,0.0452404300010425,7705.04124874079,1.11360665957566,0.265482706172097,""
"ldiff","switch","non-spatial","4",0.0841148830294978,0.0426847787285901,7705.05057212521,1.97060604587738,0.0488046978372803,"*"
"ldiff","switch","spatial","4",0.0551702003549784,0.0428040747497448,7705.01478876417,1.28890066372261,0.197471318769006,""
