,auc_maintain,auc_switch,peak_amplitude_maintain,peak_amplitude_switch,peak_latency_maintain,peak_latency_switch,lisdiff
1,469.1360938991581,658.3068665441542,1.1512750902857005,1.3947380916116485,3.832,3.9290000000000003,True
2,431.7453123406129,458.35976920235584,1.0506778988751573,1.0751133775043593,3.8869999999999996,4.012,True
3,366.46445641579885,484.0303157688978,0.7982990928736508,0.9892250538433293,3.7329999999999997,3.865,True
4,326.87531142810667,357.64990524694986,0.6598917616701535,0.6416431750374612,3.692,2.649,True
5,249.26006676972884,436.9525403941304,0.6765410971087022,1.0385238630572744,3.737,3.841,True
6,295.34054223104255,349.3395090251984,0.7444633291829907,0.9442959115266175,3.567,3.561,True
8,169.70228893315615,272.4915622124579,0.539352705223291,0.6055709304310143,3.5620000000000003,3.697,True
9,288.34997060378345,408.25249447147183,0.6393420182748305,0.8903761468685008,3.461,3.49,True
10,309.2848827954276,610.7181057992045,0.8534786739720895,1.2689257614052665,3.496,3.6639999999999997,True
12,621.1340889834777,706.643344378793,1.7536693667799967,1.7623328984004492,3.6319999999999997,3.771,True
13,214.15344961044246,386.2822353796458,0.48798002588217204,0.7697831518774839,4.063,4.182,True
14,104.34270261560397,211.86217941143562,0.30147261788880936,0.4381935800184249,4.074,4.233,True
601,459.658597621869,620.7501383759321,0.9254493529034672,1.1193284541151507,2.719,3.8890000000000002,False
0502,302.41675251800046,311.80954058840626,0.6654626636510876,0.6967414289433488,3.779,3.907,False
503,285.5320809358453,399.02226201496495,0.7157657888951464,0.8382196506136163,3.755,3.716,False
504,245.1623038946484,270.4843767847222,0.5262806760092427,0.6289593740107876,3.7990000000000004,3.79,False
505,285.0224326736759,398.9855005468086,0.6034203995891824,0.8669629842223313,2.596,2.731,False
506,447.95121675946183,574.9686396828769,1.2908513455333264,1.4534403988341047,3.62,3.5860000000000003,False
508,438.3739728898419,597.9672020328884,1.1202694261508561,1.068606422184859,3.437,2.254,False
907,128.90493850179652,143.09657349438504,0.33268861773103375,0.3561356137590648,4.413,3.553,False
610,135.37046528407743,346.5668356291137,0.4908978201949438,0.9232601503333157,3.46,3.532,False
612,281.673213665815,224.88154603188053,0.765386531876363,0.478252123150075,3.8840000000000003,4.1,False
513,282.7833582466604,321.58068864465844,0.657097246341363,0.7385575615994049,3.8070000000000004,3.83,False
514,178.29469516072132,263.4352177441964,0.5408991225967678,0.6675966514632715,3.598,3.519,False
